Price,Close,High,Low,Open,Volume
Ticker,TMCV.NS,TMCV.NS,TMCV.NS,TMCV.NS,TMCV.NS
Datetime,,,,,
2026-01-02 03:45:00+00:00,440.3999938964844,443.1000061035156,433.1000061035156,433.1000061035156,0
2026-01-02 03:46:00+00:00,439.20001220703125,440.25,436.8500061035156,440.25,247648
2026-01-02 03:47:00+00:00,440.54998779296875,441.3500061035156,437.5,439.20001220703125,153394
2026-01-02 03:48:00+00:00,437.20001220703125,441.70001220703125,436.95001220703125,440.5,201347
2026-01-02 03:49:00+00:00,437.6499938964844,437.8999938964844,435.8999938964844,437.45001220703125,143509
2026-01-02 03:50:00+00:00,438.8500061035156,439.0,436.8500061035156,437.75,113710
2026-01-02 03:51:00+00:00,436.79998779296875,439.45001220703125,436.79998779296875,438.8500061035156,119690
2026-01-02 03:52:00+00:00,437.04998779296875,437.45001220703125,436.5,437.0,53366
2026-01-02 03:53:00+00:00,436.20001220703125,437.04998779296875,436.1499938964844,437.0,57821
2026-01-02 03:54:00+00:00,435.5,436.45001220703125,435.20001220703125,436.20001220703125,69347
2026-01-02 03:55:00+00:00,434.8999938964844,435.6000061035156,434.29998779296875,435.5,109160
2026-01-02 03:56:00+00:00,434.45001220703125,435.1000061035156,433.6499938964844,434.8999938964844,82581
2026-01-02 03:57:00+00:00,434.25,434.95001220703125,433.79998779296875,434.45001220703125,44078
2026-01-02 03:58:00+00:00,435.1000061035156,435.54998779296875,434.20001220703125,434.20001220703125,67469
2026-01-02 03:59:00+00:00,434.8999938964844,435.3500061035156,434.45001220703125,435.3500061035156,37912
2026-01-02 04:00:00+00:00,434.6000061035156,435.25,434.3999938964844,434.8999938964844,67064
2026-01-02 04:01:00+00:00,433.79998779296875,434.5,433.79998779296875,434.5,62009
2026-01-02 04:02:00+00:00,433.95001220703125,434.0,433.79998779296875,433.8500061035156,71936
2026-01-02 04:03:00+00:00,434.54998779296875,434.79998779296875,433.75,434.0,33642
2026-01-02 04:04:00+00:00,434.79998779296875,435.0,434.45001220703125,434.54998779296875,24401
2026-01-02 04:05:00+00:00,434.8500061035156,434.8500061035156,434.20001220703125,434.70001220703125,81375
2026-01-02 04:06:00+00:00,437.0,437.0,435.25,435.25,95980
2026-01-02 04:07:00+00:00,438.3999938964844,438.95001220703125,436.8999938964844,437.0,485279
2026-01-02 04:08:00+00:00,436.70001220703125,437.54998779296875,436.45001220703125,437.54998779296875,235498
2026-01-02 04:09:00+00:00,436.8500061035156,437.0,436.5,436.75,70512
2026-01-02 04:10:00+00:00,437.6000061035156,437.75,436.79998779296875,436.79998779296875,78102
2026-01-02 04:11:00+00:00,439.20001220703125,439.3999938964844,437.3500061035156,437.6000061035156,60739
2026-01-02 04:12:00+00:00,439.20001220703125,439.5,438.6000061035156,439.20001220703125,57145
2026-01-02 04:13:00+00:00,439.6000061035156,439.6499938964844,438.3500061035156,439.1499938964844,185153
2026-01-02 04:14:00+00:00,439.0,439.8999938964844,438.8500061035156,439.5,48360
2026-01-02 04:15:00+00:00,439.8500061035156,440.04998779296875,439.0,439.1000061035156,208320
2026-01-02 04:16:00+00:00,440.0,440.25,439.8999938964844,440.0,49343
2026-01-02 04:17:00+00:00,440.04998779296875,440.20001220703125,439.54998779296875,440.1000061035156,85664
2026-01-02 04:18:00+00:00,441.1499938964844,441.6000061035156,440.04998779296875,440.04998779296875,125127
