Date_Time,Close,High,Low,Open,Volume
2025-12-26 03:45:00+00:00,113.98999786376953,113.98999786376953,113.80000305175781,113.80000305175781,0
2025-12-26 03:46:00+00:00,113.94000244140625,113.9800033569336,113.91000366210938,113.9800033569336,527007
2025-12-26 03:47:00+00:00,113.80000305175781,113.88999938964844,113.7699966430664,113.88999938964844,425330
2025-12-26 03:48:00+00:00,113.80000305175781,113.80000305175781,113.7699966430664,113.80000305175781,307328
2025-12-26 03:49:00+00:00,113.79000091552734,113.81999969482422,113.79000091552734,113.80999755859375,333539
2025-12-26 03:50:00+00:00,113.72000122070312,113.7699966430664,113.72000122070312,113.7699966430664,412846
2025-12-26 03:51:00+00:00,113.69999694824219,113.70999908447266,113.69999694824219,113.70999908447266,452829
2025-12-26 03:52:00+00:00,113.63999938964844,113.69999694824219,113.63999938964844,113.66000366210938,225413
2025-12-26 03:53:00+00:00,113.6500015258789,113.6500015258789,113.62000274658203,113.62000274658203,588444
2025-12-26 03:54:00+00:00,113.66999816894531,113.66999816894531,113.6500015258789,113.66000366210938,395435
2025-12-26 03:55:00+00:00,113.72000122070312,113.72000122070312,113.66999816894531,113.66999816894531,190485
2025-12-26 03:56:00+00:00,113.7300033569336,113.73999786376953,113.70999908447266,113.70999908447266,401016
2025-12-26 03:57:00+00:00,113.69000244140625,113.7300033569336,113.69000244140625,113.7300033569336,227274
2025-12-26 03:58:00+00:00,113.72000122070312,113.72000122070312,113.69000244140625,113.69999694824219,253405
2025-12-26 03:59:00+00:00,113.68000030517578,113.72000122070312,113.68000030517578,113.72000122070312,189983
2025-12-26 04:00:00+00:00,113.69999694824219,113.69999694824219,113.68000030517578,113.68000030517578,161047
2025-12-26 04:01:00+00:00,113.68000030517578,113.69999694824219,113.68000030517578,113.69999694824219,105683
2025-12-26 04:02:00+00:00,113.69999694824219,113.69999694824219,113.68000030517578,113.68000030517578,107646
2025-12-26 04:03:00+00:00,113.75,113.75,113.69999694824219,113.69999694824219,99359
2025-12-26 04:04:00+00:00,113.70999908447266,113.7300033569336,113.70999908447266,113.72000122070312,164052
2025-12-26 04:05:00+00:00,113.72000122070312,113.7300033569336,113.69999694824219,113.69999694824219,200581
2025-12-26 04:06:00+00:00,113.72000122070312,113.73999786376953,113.72000122070312,113.73999786376953,267751
2025-12-26 04:07:00+00:00,113.72000122070312,113.7300033569336,113.70999908447266,113.72000122070312,135724
2025-12-26 04:08:00+00:00,113.73999786376953,113.73999786376953,113.7300033569336,113.7300033569336,146311
2025-12-26 04:09:00+00:00,113.7300033569336,113.75,113.7300033569336,113.73999786376953,182181
2025-12-26 04:10:00+00:00,113.7300033569336,113.7300033569336,113.72000122070312,113.7300033569336,216181
2025-12-26 04:11:00+00:00,113.73999786376953,113.73999786376953,113.7300033569336,113.7300033569336,273115
2025-12-26 04:12:00+00:00,113.76000213623047,113.76000213623047,113.73999786376953,113.73999786376953,226802
2025-12-26 04:13:00+00:00,113.76000213623047,113.76000213623047,113.76000213623047,113.76000213623047,123846
2025-12-26 04:14:00+00:00,113.76000213623047,113.76000213623047,113.76000213623047,113.76000213623047,142901
